,Vehicle_ID,Frame_ID,Global_Time,Local_X,Local_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceding,Following,Space_Headway,isChangingLane,NE,N,NW,W,SW,S,SE,E,isApproacingOnramp
0,0,36,4,1113433135300,27.125999999999998,75.567,24.8,8.5,3,11.08,0.0,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
1,1,36,5,1113433135400,27.125999999999998,76.568,24.8,8.5,3,11.08,0.0,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
2,2,36,6,1113433135500,27.125999999999998,77.567,24.8,8.5,3,11.08,0.0,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
3,3,36,7,1113433135600,27.127,78.067,24.8,8.5,3,11.08,0.0,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
4,4,36,8,1113433135700,27.625,81.067,24.8,8.5,3,11.08,0.0,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
5,5,36,9,1113433135800,27.586,81.373,24.8,8.5,3,11.08,-11.2,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
6,6,36,10,1113433135900,27.616999999999997,82.38799999999998,24.8,8.5,3,9.57,-3.54,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
7,7,36,11,1113433136000,27.579,83.219,24.8,8.5,3,9.92,11.2,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,-1,-1,0
8,8,36,12,1113433136100,27.491999999999997,84.274,24.8,8.5,3,11.16,10.67,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
11,11,36,13,1113433136200,27.433000000000003,85.465,24.8,8.5,3,11.99,6.76,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
12,12,36,14,1113433136300,27.423000000000002,86.736,24.8,8.5,3,12.45,1.49,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
15,15,36,15,1113433136400,27.434,88.00299999999999,24.8,8.5,3,12.53,-0.3,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
16,16,36,16,1113433136500,27.434,89.25399999999998,24.8,8.5,3,12.51,-0.16,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
18,18,36,17,1113433136600,27.435,90.505,24.8,8.5,3,12.48,-0.29,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
20,20,36,18,1113433136700,27.434,91.75200000000001,24.8,8.5,3,12.46,-0.31,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
23,23,36,19,1113433136800,27.435,92.98200000000001,24.8,8.5,3,12.56,1.86,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
24,24,36,20,1113433136900,27.435,94.21799999999999,24.8,8.5,3,13.01,6.49,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
26,26,36,21,1113433137000,27.438000000000002,95.521,24.8,8.5,3,13.89,11.2,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
29,29,36,22,1113433137100,27.44400000000001,96.977,24.8,8.5,3,15.12,11.2,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
31,31,36,23,1113433137200,27.438000000000002,98.546,24.8,8.5,3,16.36,11.2,3,0,0,0.0,0,-1,-1,1,-1,-1,-1,-1,-1,0
33,33,36,24,1113433137300,27.436,100.26799999999999,24.8,8.5,3,17.24,6.52,3,0,0,0.0,0,-1,-1,-1,-1,-1,-1,36,-1,0
